indice_tiempo,emae_original
2012-04-01,145.52027831854522
2012-05-01,157.40418371936033
2012-06-01,149.0331017415051
2012-07-01,146.86279961903688
2012-08-01,145.69325698881013
2012-09-01,142.47153651731426
2012-10-01,147.23130295530083
2012-11-01,146.37343184468628
2012-12-01,143.58505809958143
2013-01-01,136.51707182504433
2013-02-01,132.795321964955
2013-03-01,149.40394566736484
2013-04-01,155.94159584157654
2013-05-01,167.9734791225302
2013-06-01,156.27186443024067
2013-07-01,150.73100129825897
2013-08-01,148.42144953050052
2013-09-01,147.0048441881334
2013-10-01,148.6939593959755
2013-11-01,145.69589762827002
2013-12-01,142.5768791271264
2014-01-01,137.96969739537636
2014-02-01,132.48630687243056
2014-03-01,144.53782808347017
2014-04-01,152.34143546147135
2014-05-01,164.20324390256107
2014-06-01,153.80352402990053
2014-07-01,145.4228137340859
2014-08-01,140.10530396605887
2014-09-01,141.71873319955728
2014-10-01,143.3493974176129
2014-11-01,140.8775968982631
2014-12-01,140.4359377491282
2015-01-01,133.99818907035032
2015-02-01,132.627886955774
2015-03-01,149.4090129833281
2015-04-01,157.4845995373143
2015-05-01,168.88610058983411
2015-06-01,162.93739000912225
2015-07-01,151.8447963430633
2015-08-01,146.46506720486232
2015-09-01,145.88232371860067
2015-10-01,147.04587615341626
2015-11-01,146.175581385648
2015-12-01,141.9421187346255
2016-01-01,134.74645041349706
2016-02-01,134.2323610386252
2016-03-01,150.0878942366954
2016-04-01,153.25067436662908
2016-05-01,163.51360808690507
2016-06-01,153.66209524099784
2016-07-01,143.73110098180126
2016-08-01,143.6741026486049
2016-09-01,142.00773744282046
2016-10-01,141.1368632980814
2016-11-01,144.93832064073018
2016-12-01,142.59014516031914
2017-01-01,136.63265948871924
2017-02-01,132.15851634216514
2017-03-01,152.62095855115712
2017-04-01,151.9463447793167
2017-05-01,168.38920945875734
2017-06-01,161.0356855052328
2017-07-01,150.30605023792208
2017-08-01,149.25534282189685
2017-09-01,146.3865594956954
2017-10-01,149.385949149674
2017-11-01,151.9260426343711
2017-12-01,146.7833856432202
2018-01-01,142.7
2018-02-01,138.8
2018-03-01,155.9
2018-04-01,151.5
2018-05-01,159.6
2018-06-01,151.1
2018-07-01,146.0
2018-08-01,146.8
2018-09-01,137.7
2018-10-01,142.8
2018-11-01,140.6
2018-12-01,136.3
2019-01-01,134.5
2019-02-01,132.3
2019-03-01,144.9
2019-04-01,149.9
2019-05-01,164.1
2019-06-01,150.8
2019-07-01,146.8
2019-08-01,141.3
2019-09-01,134.9
2019-10-01,141.5
2019-11-01,137.7
2019-12-01,135.7
2020-01-01,132.28223124569112
2020-02-01,129.74514663170137
2020-03-01,129.0977252138824
2020-04-01,111.903953163175
2020-05-01,131.29461300494506
2020-06-01,133.30386653957163
2020-07-01,128.19080278245926
2020-08-01,125.17406632349136
2020-09-01,126.59614565623438
2020-10-01,131.72739168680206
2020-11-01,132.96973762254197
2020-12-01,132.42198051947332
2021-01-01,129.49276757333357
2021-02-01,126.693823198006
2021-03-01,146.28771620784292
2021-04-01,144.90576544617173
2021-05-01,150.14868925533764
2021-06-01,148.94396513599037
2021-07-01,143.1827570387415
2021-08-01,141.20571583640665
2021-09-01,140.94554305470595
2021-10-01,140.53928207853662
2021-11-01,145.25244923103682
2021-12-01,145.65428740631165
2022-01-01,136.51119002060923
